학번,이름
2022E0001,최정의
2022E0002,송인식
2023E0003,이정권
2023E0004,학생4
2022E0005,학생5
2024E0006,학생6
2022E0007,학생7
2024E0008,학생8
2021E0009,학생9
2022E0010,학생10
2022E0011,학생11
2023E0012,학생12
2022E0013,학생13
2023E0014,학생14
2023E0015,학생15
2024E0016,학생16
2021E0017,학생17
2024E0018,학생18
2023E0019,학생19
2023E0020,학생20
2021E0021,학생21
2024E0022,학생22
2021E0023,학생23
2023E0024,학생24
2021E0025,학생25
2022E0026,학생26
2023E0027,학생27
2023E0028,학생28
2021E0029,학생29
2022E0030,학생30
2024E0031,학생31
2023E0032,학생32
2022E0033,학생33
2023E0034,학생34
2023E0035,학생35
2024E0036,학생36
2021E0037,학생37
